          REPORTE PARA LOS STREAMS
 CODIGO   DURACION(s) IDIOMA      CATEGORIA
803100      4945      4003         C1072
249101      7387      3071         U1053
614102      3501      4009         C1084
914103      8320      3001         N1001
576104      7908      3071         O1070
693105      3246      1002         K1048
888106      4962      4013         W1042
165107      2936      3019         Q1021
347108      3540      2062         W1036
175109      8543      3001         W1089
875110      6194      2062         U1045
704111      1518      3009         K1093
424112      3231      2041         B1075
186113       341      2041         C1072
657114      3166      4003         C1072
115115      2648      1002         X1069
570116       333      1007         O1049
650117      6189      2035         B1005
629118       169      3071         K1026
678119      6788      1005         Q1071
925120      3593      3071         E1057
833121       307      1007         N1079
752122      4936      1005         S1095
867123      5716      1003         T1016
255124       931      1056         H1004
486125      7285      1005         A1052
683126      1384      1002         N1099
199127       775      1002         V1064
610128      4743      4003         C1062
970129      7526      4009         Q1023
312130      6035      3019         D1058
726131       225      1007         S1095
372132      2713      1003         Z1074
501133      2829      2062         U1045
417134       799      4013         G1043
884135      3146      4003         M1088
714136      4160      1056         J1009
394137      8290      3019         C1072
978138      7392      1005         A1063
939139      7848      4003         G1043
529140      8522      3009         N1055
113141      6419      2010         T1017
929142      4970      1005         S1083
253143       773      4003         B1096
150144      1742      3009         B1073
254145       702      2062         B1047
866146      4413      2041         Z1037
547147      8510      2041         A1052
927148      7019      2055         N1099
373149      7532      2041         W1039
731150      7748      3006         L1008
866151      5405      2055         Q1028
159152      4003      3071         U1040
145153      4722      2055         N1099
410154      3387      2022         Q1021
702155       267      1003         I1015
553156      7646      2010         A1052
312157      3817      2041         N1013
233158      6676      2055         D1020
531159      1746      4009         Q1028
867160      7995      4013         S1095
450161      3530      3009         L1061
784162      4135      2055         K1026
461163      4936      1056         V1056
413164      7969      4003         B1047
992165      5450      3009         I1015
401166      3724      1002         B1073
371167      4003      2041         D1067
990168      1184      3071         Z1085
323169      6936      3071         V1056
684170      2173      2035         D1097
323171       641      3019         B1075
103172      2394      1007         Q1028
242173      3963      2055         A1054
380174       186      3019         T1017
914175      2555      3001         N1013
338176      5804      2055         K1026
829177       629      1005         T1007
785178      4527      2062         O1019
977179      3849      3001         A1054
632180      2350      2035         S1035
994181       480      3006         G1051
647182       102      1005         N1001
282183      2016      4013         V1064
738184      1304      1003         K1026
770185      7473      1007         D1058
316186      6104      2010         L1061
360187        56      3009         G1043
294188      8091      3006         C1072
979189      2601      2062         Z1085
125190      2739      3019         O1049
831191      6566      3001         F1077
333192       310      2062         A1060
139193      2171      1002         O1090
668194       707      2055         U1003
199195      7323      1007         V1056
111196      1108      2010         S1035
532197      4050      4013         W1033
276198      5515      1003         Z1085
396199      5689      3009         C1010
