 REPORTE PARA ETIQUETAS
  ETIQUETA   DURACION
==========================
   803100     01:27
   249101     02:07
   614102     01:59
   914103     02:54
   576104     02:32
   693105     01:37
   888106     02:07
   165107     03:00
   347108     00:37
   175109     02:40
   875110     02:15
   704111     02:51
   424112     00:52
   186113     01:48
   657114     02:14
   115115     01:27
   570116     01:39
   650117     02:05
   629118     00:41
   678119     02:58
   925120     01:22
   833121     01:14
   752122     02:15
   867123     01:55
   255124     00:54
   486125     01:11
   683126     01:35
   199127     01:37
   610128     02:51
   970129     02:07
   312130     01:56
   726131     02:56
   372132     01:16
   501133     01:03
   417134     01:11
   884135     00:35
   714136     02:04
   394137     02:45
   978138     01:54
   939139     00:52
   529140     01:25
   113141     02:12
   929142     02:46
   253143     00:39
   150144     01:21
   254145     02:43
   866146     01:19
   547147     01:15
   927148     02:18
   373149     02:05
   731150     01:54
   866151     00:42
   159152     01:00
   145153     01:37
   410154     00:47
   702155     02:04
   553156     00:37
   312157     01:51
   233158     02:04
   531159     03:00
   867160     01:20
   450161     02:53
   784162     02:47
   461163     02:54
   413164     02:59
   992165     00:55
   401166     02:34
   371167     01:33
   990168     00:51
   323169     00:39
   684170     02:25
   323171     01:52
   103172     02:19
   242173     02:24
   380174     00:39
   914175     01:52
   338176     01:30
   829177     01:57
   785178     01:42
   977179     02:53
   632180     02:02
   994181     01:12
   647182     01:19
   282183     02:18
   738184     02:16
   770185     01:36
   316186     01:36
   360187     02:11
   294188     02:48
   979189     00:57
   125190     02:40
   831191     00:52
   333192     00:38
   139193     01:15
   668194     00:50
   199195     01:06
   111196     01:57
   532197     02:25
   276198     02:43
   396199     02:01
